,insert_BST_mean,insert_BST_std ,insert_map_mean,insert_map_std,copy_BTS_mean,copy_BTS_std,copy_map_mean,copy_map_std,find_BST_mean,find_BST_std,find_map_mean,find_map_std,modify_BST_mean,modify_BST_std,modify_map_mean,modify_map_std,erase_BST_mean,erase_BST_std,erase_map_std
87,411.187,821.7036680160309,390.768,778.3460015802742,8449.836,5018.963761086942,4011.568,2021.2373352419575,319.218,1111.3502321392657,205.238,481.9559724248677,420.501,1362.9572069580909,197.214,27.18367532178089,1299.075,1689.323933819383,273.465
88,365.397,99.9629300841067,345.982,47.200187245391355,8501.712,2740.425775505696,3938.133,1764.811014616295,316.63,936.2254606129878,206.287,447.66285598762846,409.359,1351.934929691144,207.348,110.88373593994741,1093.684,773.2600249230526,256.157
89,372.472,667.6621729707324,366.186,539.1620307514244,8505.499,2775.597467933525,3974.567,1628.2063596212245,286.265,872.0152147611878,209.383,627.7659040685473,357.29,813.8010321325487,200.805,25.392065197616397,1278.923,1612.8216544525285,239.911
90,409.212,690.5667477195816,390.301,785.625449179824,8669.989,2968.511444963451,4026.456,1896.086191095752,420.659,3726.241797403786,187.496,25.21475726633115,390.414,1111.2994189704236,201.902,25.90529667847869,1238.682,1647.7510409269958,279.527
91,397.502,905.4752807205729,366.96,616.6668698738407,8594.347,2919.258264112823,4028.453,1767.5898103889933,381.558,1334.6882409896327,211.321,605.2999223186803,468.302,1686.6888476527004,199.728,23.821839055790818,1265.626,1758.2542137370247,239.534
92,381.462,516.1608940592067,362.697,617.115191184758,8612.677,2352.016892939121,4013.275,1404.6910583380948,283.581,439.8484755447037,208.926,442.94427248131325,313.451,626.3911634106918,212.03,438.6245992873638,1299.614,1611.980972903837,269.536
93,386.333,1010.2513192819895,408.967,1112.090366791746,8760.258,2919.135946720537,4154.461,2170.8911447787996,271.558,703.9643859145148,202.718,442.10147757726384,396.713,1178.7476645283339,233.949,632.8315877063978,1516.067,1925.0354252613108,237.639
94,382.876,451.2342458457692,363.407,439.69352207077145,8893.347,3195.3752647523247,4035.033,1180.543752645788,253.166,71.26602587488654,209.318,611.7344970458993,408.988,1442.215895022656,205.716,79.79941944650973,1318.129,1575.589918208098,253.67
95,385.595,698.995155187072,349.238,49.46448580547462,8991.014,3286.370031783393,4222.443,2051.6676199499266,291.593,779.9094443273525,204.232,433.4060938380999,390.437,1113.4523213999778,237.571,883.570942799163,1208.501,1450.602643041505,243.71
96,391.203,649.044921242744,345.082,44.71441910614518,9138.791,4826.601087029984,4104.006,1449.4505869342347,295.373,828.227233234334,251.683,1200.6530949908056,387.031,1197.9041848324098,196.907,23.4894944815762,1283.108,1583.5313575474277,236.863
97,378.375,779.4519705376335,345.247,42.921113580614396,8925.269,2716.5401165156773,4174.724,1728.6571573981919,319.949,1114.822394105447,233.926,876.8571049629478,306.707,450.51192120852903,214.408,117.7706989704995,1206.967,1543.3334169618042,241.471
98,368.62,450.4996488344917,353.864,43.779510093193124,9092.774,3104.7413011270355,4337.08,2338.939804612336,310.383,873.6317647103954,213.366,680.6997958307321,370.265,1108.4220003117057,244.179,758.6939336511148,1273.679,1701.5835618502554,267.604
99,472.016,3465.28525171363,368.212,481.5852749576133,9043.908,2751.8175073096686,4315.183,1932.4332949706184,289.968,711.8934154604885,207.948,444.3871074817534,339.898,922.0449433709837,220.485,488.8576273057427,1439.865,1722.988627001059,229.853
100,367.35,277.4120536314161,353.261,50.07417377251469,9176.775,3315.0871992113553,4398.944,2911.781065750652,262.943,76.73292481718654,187.583,23.824506521647,361.956,981.4759457388654,203.861,83.53731907955869,1302.629,1576.481715516866,239.06
101,391.266,696.6852425909419,345.603,48.35447643186725,9154.183,2839.4407402710494,4370.804,2161.770389653813,266.957,443.1599250282002,190.609,25.491138048349253,366.513,988.8261009050073,200.905,103.6660502527226,1467.841,2062.263559227821,278.069
102,384.57,721.1916784738993,372.669,621.8011462187912,9365.047,3253.547050342291,4357.026,2204.323841753747,340.442,1130.5419535054862,189.627,24.468998160938266,351.441,942.8489563652283,197.81,23.850951762980053,1245.152,1093.5028069904529,231.144
103,383.674,608.649651050586,380.066,934.2489109675216,9354.532,3232.280365775221,4303.77,1835.1878538994326,312.564,1066.998659747987,188.019,23.73387113388806,388.292,1346.391883790154,197.338,24.294726917584413,1279.296,1418.9427734704452,232.187
104,407.588,669.1757200138093,347.348,40.820863489152224,9451.668,3157.6723290702594,4412.795,2506.493878902357,315.582,1128.8457234166242,193.103,85.85858367688117,328.419,503.1469243064095,210.797,429.09863876619335,1292.022,1628.0278595638335,268.753
105,368.109,634.6446967548063,404.516,829.2725135587215,9332.174,4229.425435177217,4365.458,1718.6613966212194,263.068,73.95004649085763,201.14,25.014843593354723,333.647,681.0585543042537,199.604,23.81535605444522,1283.927,1414.5379074704938,225.922
106,374.902,93.32874367524724,396.517,1049.7159995498782,9356.539,2577.8440648105543,4459.829,2054.1803021543647,264.887,436.65147913524805,204.58,484.6525514221502,300.58,71.29973071477902,208.739,97.20160944655188,1290.826,1425.3680309744566,238.68
107,386.428,442.4176090708869,372.128,620.0553601219814,9500.533,3247.4053022237586,4371.25,1587.407619831781,250.98,70.6242422968204,188.694,25.041972046945524,329.292,458.50646749637076,235.954,651.4520963846844,1383.783,1905.350297953372,237.907
108,377.597,630.1096258517239,349.11,43.95875225708752,9559.605,3101.084576236999,4481.584,2733.4682103408472,277.153,631.6174171054816,213.051,466.7894754586911,347.912,911.7277226540825,217.957,264.7268349657814,1460.125,1827.4793211894355,260.826
109,354.073,95.83688053667026,387.412,794.0550662617801,9445.803,2313.817814822722,4524.146,2619.519832466248,326.463,1108.403985300937,204.388,438.3787214909044,295.65,68.41275831305137,218.275,521.3267165367615,1275.426,860.2814344875753,251.493
